question_id,domain,split,question,human_hc3,chatgpt_hc3,deepseek_original,deepseek_rewrite_casual,deepseek_rewrite_adversarial
hc3_finance_0089,finance,eval,农村自建房能用公积金贷款吗,各地公积金政策有所不同，建议通过官网查询或者咨询当地公积金管理中心，官方电话是12#29.,是的，在某些情况下，农村自建房可以用公积金贷款。公积金贷款是指使用个人公积金存款作为抵押，从公积金中心或者银行获得贷款用于自建房屋的贷款方式。如果您符合公积金贷款的资格条件，可以申请公积金贷款，但需要注意的是，公积金贷款的利率通常略高于普通的住房贷款。具体的资格条件和申请方法可以咨询当地的公积金中心或者银行。,根据现行公积金政策，农村自建房通常不能使用公积金贷款。公积金贷款主要适用于城镇职工购买、建造、翻建、大修自住住房，且需提供合法有效的购房合同或建房批准文件。农村自建房若未取得正规审批手续或位于集体土地上，一般不符合贷款条件。建议咨询当地公积金管理中心了解具体规定。,农村自建房一般不能用公积金贷款。公积金贷款主要是给城镇职工买房或者修房用的，而且得有正规的购房合同或者建房批文。农村自建房很多建在集体土地上，手续可能不全，所以很难批下来。最好还是问下你们那的公积金中心，看具体政策咋说。,我老家那边想用公积金贷款盖房，结果问了一圈说不行。公积金好像主要是给城里人买房或者翻新用的，得走正规审批流程。农村的地属于集体，手续没那么全，所以贷不了。你要是想确认，还得去当地公积金中心问问，他们说了才算数。
hc3_finance_0090,finance,eval,银行低押贷款还不上怎么办？,如果是我行申请的贷款，贷款未按时还款会产生逾期利息和逾期记录，记录到人行征信系统，假若后续再申请贷款或信用卡等业务时，均需审核您的信用情况（具体影响，需要您咨询贷款经办网点确认）；所以建议您保持良好的还款记录。,如果您不能按时还款，建议您尽快联系银行，与银行协商解决方案。有可能可以延期还款或者调整还款计划，但是这可能会对您的信用记录产生负面影响。如果您无法与银行达成协议，可能会导致法律程序的发起，甚至可能会对您的财产进行抵押或者没收。如果您正在经历财务困难，建议您尽快寻求专业的财务咨询师的帮助，为您提供个性化的建议。,若您无法偿还银行抵押贷款，建议尽快与银行沟通申请展期或调整还款计划。同时可尝试通过亲友借款、变卖资产等方式筹集资金，避免逾期影响征信。必要时可咨询专业律师，了解个人破产等法律途径的可行性。切勿以贷养贷或逃避债务，以免面临法律诉讼。,如果银行抵押贷款还不上，赶紧找银行商量能不能延期或者改还款方案。也可以跟亲戚朋友借点钱，或者卖掉些东西凑钱。别拖，不然征信会出问题。实在不行就问问律师，看看有没有别的办法。千万不要借新钱还旧债，也别躲着，不然可能被起诉。,还不上抵押贷？先跟银行说一声，看能不能宽限几天或者重新分期。找家里借点，卖点东西也行。千万别逾期，信用记录坏了麻烦。真没辙就找个律师问问，像个人破产那种。别去网贷补窟窿，也别玩失踪，银行会告你的。
hc3_finance_0091,finance,eval,沈*求好心人借我10万救救我,大哥，需要钱的很多，不要哭穷。还是好好的实际的想办法解决吧,"I'm sorry, but I am an artificial intelligence and do not have the ability to lend you money. I also cannot provide personal or financial assistance. It's important to be cautious when seeking or accepting loans, and to carefully consider all of your options before making a decision. If you're in need of financial assistance, there are a number of organizations and resources that may be able to help. You could consider reaching out to a credit counseling service, a financial advisor, or a non-profit organization that provides financial assistance to individuals in need. It's also a good idea to speak with a trusted friend or family member who may be able to offer advice or support.",关于您提到的借款请求，我们理解您的紧急需求。但作为AI助手，我无法提供个人借贷服务。建议您联系正规金融机构或亲友寻求帮助，同时注意防范网络诈骗。请理性评估自身还款能力。,看到你说想借10万救命，挺着急的。不过我真的没法借钱给你。要不你试试找银行或者跟家里人说说？网上借钱要小心骗子，别急上头了。,兄弟，10万块不是小数目，我这边真帮不上忙。你不如去银行问问贷款，或者找靠谱的朋友周转下。网上那些说能借的，十有八九是坑，千万别信。
hc3_finance_0092,finance,eval,崇左公积金能在南*查询打印吗,各地公积金政策有所不同，建议通过官网查询或者咨询当地公积金管理中心，官方电话是12#29.,崇左公积金中心可以在南宁办理打印业务。如果你在崇左市境内，建议你前往崇左公积金中心进行打印业务办理。如果你在崇左市境外，建议你联系当地的公积金管理中心或者通过公积金网上服务平台进行打印业务办理。注意：公积金中心的办理时间通常是周一至周五上午8:30至下午5:00，周六上午8:30至下午12:00，周日及法定节假日休息。在办理业务时，建议提前咨询办理时间，并准备好相关的材料和身份证件。,崇左公积金可以在南宁查询和打印。崇左市住房公积金管理中心已实现与南宁市的数据互通，您可携带身份证到南宁市任意公积金服务网点或通过自助终端机办理查询打印业务。,崇左公积金在南宁也能查和打。带上身份证去南宁的公积金网点或者自助机就行，数据是通的。,崇左的公积金，在南宁可以查和打印。你就拿身份证去南宁的公积金柜台或者那个自助机器上弄，两边系统连着的，没问题。
hc3_law_0000,law,train,双方未离婚，女方现在拒绝男方见孩子，男方是否可以拒绝支付抚养费,不同法律关系。。可以起诉请求探视权，抚养费也需要支付的。,在中国，如果双方未离婚，男方仍有抚养义务。即使女方拒绝男方见孩子，男方仍应按照法律规定支付抚养费。 根据中国有关法律规定，父母有义务为未成年子女提供生活、教育、医疗等必要的赡养。如果男方拒绝支付抚养费，女方可以向法院申请强制执行，要求男方支付抚养费。 同时，男方在支付抚养费的同时，也有权利要求女方支持其与孩子沟通和接触，并且可以向法院申请相关权利。 总之，即使双方未离婚，男方仍有抚养义务，也有权利要求与孩子沟通和接触，如果女方不同意，男方可以向法院申请相关权利的保护。,根据中国法律，父母对子女的抚养义务是法定的，不因离婚或探望权纠纷而免除。女方拒绝男方探望孩子，男方可以通过法律途径解决探望权问题，但不能以此为由拒绝支付抚养费。否则，女方可以起诉要求支付抚养费，法院通常会支持。,法律上，父母养孩子是必须的，就算离婚了也得给钱。女方不让见孩子，男方不能就不给抚养费。他可以去法院告她，争取探望权，但抚养费还得照付。不然女方反过来告他，法院一般会判他给钱。,喂，我跟你说，法律上养孩子是硬性规定，离没离婚都得掏钱。那女的不让见娃，男的气不过就不给钱？不行，这俩事儿是分开的。他得去法院说探望权的事，但抚养费一分不能少。不然那女的告他，法院肯定判他补钱，还得挨批。
hc3_law_0001,law,train,目前，男友已经贷款购房，合同已经备案，但尚未交房，未办房产证，我们打算结婚，但是婚后要一起还贷，请问办证的时候可以添加我的名字吗？,这只是协商的问题，只要你男朋友同意就没有问题,! network error There was an error generating a response,根据法律规定，购房合同备案后，若需在房产证上添加您的名字，通常需要等到房屋交付并办理初始登记后，通过夫妻财产约定或赠与方式办理。由于房产尚未交房且未办证，目前无法直接添加。建议婚后共同还贷时保留相关凭证，待办证时与开发商或不动产登记中心协商，或通过婚后财产协议明确权益。但需注意，贷款未还清时添加名字可能需银行同意，具体请咨询当地不动产登记机构。,按规矩，房子还没交房也没房产证，现在加不了你的名字。得等交房后办了初始登记，再通过夫妻财产约定或者赠与才能加上。你们婚后一起还贷的话，记得留好证据，以后办证时跟开发商或登记中心商量。不过贷款没还清时加名可能要银行点头，最好问问当地不动产登记中心。,哎，这房子现在还没交房，房产证也没办，所以暂时加不了你名字。得等交房了，开发商把大证办下来，然后你们俩写个协议或者走赠与，才能把你名字加上去。婚后一起还贷记得把转账记录、银行流水啥的都留着，以后办证时跟那边沟通。不过啊，贷款没还清的话，加名字银行可能不同意，你最好打个电话问问不动产登记中心的人咋操作。
hc3_law_0002,law,train,我和老公是再婚的我们各自带着一个孩子组成了一个家庭孩子八岁时候结合的。请问他要是过世后他的房产继承权会有我的一份吗【继承问题】,您好，配偶是法定第一顺位继承人，您对房产有继承权。,在您所在的地区，继承法对于再婚夫妻的房产继承权有何规定？具体情况可能会因法律法规、婚姻关系、结婚时间、财产获得方式等因素而有所不同。建议您咨询当地的律师或司法机构，了解有关继承法的相关规定，并制定适合您家庭情况的继承规划。,根据《中华人民共和国民法典》继承编的规定，您作为配偶属于第一顺序继承人，有权继承您丈夫的遗产。但需注意，如果该房产属于您丈夫的婚前个人财产，则您与其他第一顺序继承人（如子女、父母）共同继承；如果是夫妻共同财产，则先分割一半归您，剩余一半作为遗产由继承人共同继承。建议您收集相关证据并咨询专业律师。,你和老公是再婚，各自带娃，孩子八岁时才在一起。如果他去世了，他的房产你肯定有份。法律上配偶是第一顺序继承人，不过要看房子是不是他婚前的个人财产。如果是，那就和孩子们、他爸妈一起分；要是婚后一起买的，先分一半给你，剩下的再大家分。最好找律师问问具体情况。,我跟我老公都是二婚，各自带个娃，孩子八岁才凑一块儿。万一他先走了，他的房子我能分到不？法律规定配偶是头号继承人，但得看房子是不是他结婚前就有的。要是他个人的，那就跟孩子、他爹妈一起分；要是婚后我俩一起买的，先给我一半，剩下的再大伙儿分。你最好找个律师细聊聊，别吃亏了。
hc3_law_0003,law,train,我有一个朋友借我钱！把朋友的车押在我这啦！到期啦他把钱给我啦！我把车给他开过去了！说撞啦！还不让人走怎么办,他说撞了，让他出示证据，对于无理要求可以拒绝。如果发生限制人身自由情况，果断报警。,很抱歉，我无法确定你在询问什么问题。你可以尝试提供更多的背景信息或提出更具体的问题。,根据您描述的情况，这属于民事纠纷中的借贷与质押问题。您朋友将车质押给您作为借款担保，还款后质押权消灭，您应归还车辆。但车辆在您交还后发生事故，责任需根据交付后风险转移原则判断。建议您与朋友协商，明确事故责任，必要时寻求法律咨询或调解。,你朋友借钱把车押你这，还钱后你把车开回去，结果他撞了还不让你走？这事得看你们之前咋约定的。车还给他后，风险就归他了，撞车责任在他。你可以先跟他好好说，不行就找律师或报警调解。,哥们儿，你朋友借钱把车押给你，钱还了你就把车开回去，结果他撞了还不让你走？这不合理啊，车都还他了，出事是他自己的事。你直接跟他说清楚，别被赖上，要不行就找警察或者懂法的朋友帮忙说说理。
hc3_law_0004,law,train,遗嘱公证需要哪些材料？如果房产证不在自己身边可以做遗嘱公证吗？,到房产交易中心查询产权人信息后，可以公证。,遗嘱公证是指在公证员的监督下，对遗嘱进行书面验证的程序。遗嘱公证通常用于规划遗产分配和遗嘱执行等事宜。 在中国，遗嘱公证需要提供以下材料： 有效的身份证明：遗嘱人和遗嘱执行人都需要提供有效身份证。 遗嘱本身：遗嘱必须是书面形式，并且必须由遗嘱人亲笔签字。 公证申请书：遗嘱人或遗嘱执行人需要向公证机构提交公证申请书，申请公证遗嘱。 相关证明材料：如果遗嘱涉及财产，还需要提供相关的财产证明，如房产证、车辆登记证明等。 如果房产证不在自己身边，您仍然可以做遗嘱公证，但需要提供其他有关房产的证明材料，如房屋租赁合同或房屋交易协议等。在这种情况下，建议您向公证机构咨询，了解具体的申请要求和所需材料。,遗嘱公证需要准备以下材料：遗嘱人的身份证明、遗嘱原件、遗嘱涉及的财产证明（如房产证、存折等）、遗嘱人的婚姻状况证明以及遗嘱受益人的身份信息。如果房产证不在身边，无法直接证明财产权属，建议先补办或调取房产档案，否则公证处可能拒绝办理。,做遗嘱公证要带上身份证、遗嘱书、房产证这些财产证明，还有结婚证和受益人的身份信息。要是房产证不在手边，公证处没法确认房子是不是你的，最好先去补办或者查档案，不然可能办不成。,办遗嘱公证要啥材料？身份证、遗嘱、房产证这些都得有，还有结婚证和受益人信息。房产证不在身边？那公证处没法核实房子产权，得先补办或者调档案，不然他们不给办。
hc3_law_0005,law,train,动迁时按人头给了动迁安置费，其中我个人的部分，我妈妈给了我一半，还有一半她说她来保管着，我想问如果离动迁过去3年后，她不给我，我能通过法律维护我的权益吗。,您好！如果属于成年人，建议协商解决，如果协商不成，可以委托专业律师向法院提起诉讼来维护当事人的合法权益，要求其返还属于你的拆迁款。详情可来电来访！,如果你的母亲没有按照约定给你动迁安置费的一半，你可以考虑通过法律维护你的权益。在这种情况下，你可以向当地的人民法院提起诉讼，要求法院判决你的母亲履行约定的义务。 在提起诉讼之前，你可以考虑先尝试协商解决问题。如果你的母亲同意按照约定履行义务，可以避免诉讼的风险和费用。如果你的母亲拒绝履行义务，你可以向当地的人民法院提起诉讼，要求法院判决你的母亲履行约定的义务。 在提起诉讼时，你需要准备相关的证据，证明你和你的母亲之间存在约定并且你的母亲未能履行约定的义务。这些证据可能包括：动迁安置费的票据或协议，你与你的母亲之间的通信记录，以及其他有助于证明约定和未履行义务的证据。 在提起诉讼后，法院会对你的请求进行审理，并根据事实和法律的规定作出判决。如果判决结果有利于你，法院会要求你的母亲履行约定的义,根据法律规定，动迁安置费属于个人财产，你母亲代为保管的部分，若三年后拒不归还，你可以通过诉讼维护权益。但需注意诉讼时效一般为三年，从知道权利受损时起算。建议先协商，若不成可收集证据起诉。,动迁费里我那份，我妈说帮我保管一半。要是三年后她不给我，我能告她吗？法律上应该可以，但要注意时间，从她不给我那天起三年内得去法院。最好先好好说说，不行再找证据打官司。,我家拆迁按人头分钱，我那份我妈拿走一半说存着。都过去三年了，她要是还不还我，我能去法院告她不？听说有个三年期限，从她不给我开始算。先跟她商量，不行就留好证据起诉呗。
hc3_law_0006,law,train,各位律师大家好 我自己具有使用权的水库和湖区现在是度假村进行用电捕鱼合法么？是否违反相关的渔业法和用电法。,即使为你自己具有使用权，那也不可以进行野蛮作业，需要遵守相关法律，建议详询,! network error There was an error generating a response,您好，根据相关法律规定，您拥有使用权的水库和湖区若被度假村用于用电捕鱼，可能违反《渔业法》和《电力法》。用电捕鱼属于禁用捕捞方法，且未经许可使用电力可能构成违法。建议您咨询当地渔政部门或法律专业人士，以获取具体法律意见。,你好，你那个水库和湖区有使用权，但现在度假村在那用电捕鱼，这个合法吗？我觉得可能不合法，因为渔业法和电力法都禁止用电捕鱼，而且私自用电也有风险。最好问问当地渔政或律师，别自己瞎猜。,哥们，你那个水库和湖区自己能用，结果度假村在那电鱼，这能行吗？我看八成违法，渔业法电力法都管这个，用电捕鱼是禁止的。别犹豫，直接找渔政或者懂法的问问，别让他们乱来。
hc3_law_0007,law,train,离婚什么情况下可以要求对方净身出户,离婚什么情况下都应当平均分割夫妻财产。如果一方放弃财产，可以净身出户。,在中国，如果一对夫妻在婚姻关系存续期间，双方协议离婚或者一方提出离婚，并且双方已经协商好了财产分割方案和子女抚养安置问题，那么在这种情况下，可以要求对方净身出户。 如果双方无法协商达成离婚协议或者存在有关子女抚养安置问题的争议，则可能需要由法院来裁决。在这种情况下，法院会考虑双方的实际情况，包括婚姻生活的性质、双方的收入、财产状况以及子女的年龄和抚养需要等因素，来决定是否同意要求对方净身出户。 总的来说，在中国，离婚时要求对方净身出户是可以的，但是需要注意的是，要求对方净身出户的前提是双方必须已经达成了离婚协议或者法院已经裁决出离婚的结果，并且离婚协议或法院裁决必须明确规定了要求对方净身出户的条件。此外，在要求对方净身出户的同时，还可能需要考虑子女的抚养安置问题，并且要注意不能违反法律的规定。,根据中国法律规定，离婚时要求对方净身出户通常需要满足特定条件。如果一方存在隐藏、转移、变卖、毁损夫妻共同财产，或伪造夫妻共同债务企图侵占另一方财产的行为，在分割财产时可以少分或不分。此外，若一方在婚姻中存在重大过错，如重婚、与他人同居、实施家庭暴力、虐待或遗弃家庭成员，无过错方有权请求损害赔偿，但并非直接导致净身出户。实践中，净身出户多通过双方协议实现。,离婚时想让对方净身出户，法律上挺难的。一般来说，除非对方偷偷转移、藏起来、卖掉或者毁坏了夫妻共同财产，或者伪造债务想占便宜，这样法院才会在分财产时少分或者不分给他。另外，如果对方有重婚、出轨、家暴、虐待或者遗弃这些大错，你可以要赔偿，但也不等于他就得净身出户。现实中，更多是俩人商量好才可能实现。,离婚想叫对方一分钱都拿不到？法律上基本没这说法。除非他背着你把房子车子偷偷卖了、藏了，或者搞假债务想坑你，法院才会在分钱时让他少拿甚至不拿。还有，他要是跟别人结婚、跟人同居、打你、虐待你或者不管家人，你可以告他要赔偿，但这不代表他得光屁股走人。通常都是俩人谈好了，签协议才行。
hc3_law_0008,law,train,外地非农户女嫁给北京非农户男，户口几年可以进北京,结婚10年，年龄45周岁 。具体还需根据政府政策为准,在中国，婚姻是由户口所在地的户籍部门登记管理的。如果你是外地非农户，并且你和你的配偶都是非农户，那么你可以通过在你和你配偶的户口所在地办理婚姻登记来结婚。 如果你和你的配偶都希望把户口迁到北京，那么你们可以在结婚之后申请办理户口迁移。在中国，通常情况下，办理户口迁移需要满足以下条件： 双方都是中国公民，并且都是非农户。 双方都已满 16 周岁。 双方都已经在北京办理了婚姻登记。 双方都已在北京缴纳了足够的社会保险费。 如果你们满足以上条件，那么你们可以向北京市居住管理局申请办理户口迁移手续。在中国，户口迁移的申请一般需要提交相关材料，包括婚姻登记证明、身份证复印件、工作单位证明等。 如果你的配偶是北京市户籍居民，那么你可以在办理婚姻登记之后直接申请办理户口迁移。如果你的配偶不是北京市户籍居民，那么你们,根据北京市户籍管理规定，外地非农户女与北京非农户男结婚后，需满足结婚满10年且年满45周岁，方可申请投靠配偶进京落户。,外地非农户女嫁给北京非农户男的话，户口进北京一般要结婚满10年，而且女方得年满45岁才能申请。,你问的这个啊，外地非农户女嫁北京非农户男，想迁户口得结婚十年，还得女方满45岁，然后才能办投靠落户。
hc3_law_0009,law,train,我想加盟奔腾自热地板，先交了1.5万的定金，后来详细调查后觉得这个公司不可靠，想退回定金，他们不退，向公司所在工商所反映管用吗？,如果想要回1万5千元定金需要证明卖方有违约行为的证据。,如果您认为奔腾自热地板公司没有按照约定履行自己的义务，并且拒绝退还您所交的定金，您可以向公司所在地的工商所或者其他相关部门投诉，以便寻求帮助解决问题。 在这种情况下，建议您先尝试与公司进行协商，解决问题。如果协商不成，您可以向工商所或者其他相关部门提出投诉，要求退还定金。工商所或者其他相关部门会根据实际情况进行调查，并尽力帮助解决问题。 建议您在提出投诉时，准备好相关证据，以便工商所或者其他相关部门进行调查时提供。这些证据包括但不陀限于：您与公司签订的合同、您所交的定金的收据、您向公司提出退还定金的书面请求及公司的回应等。,向公司所在地的工商所反映情况是可行的维权途径。工商所作为市场监管部门，负责处理消费纠纷和违法经营行为。您需要携带相关证据，如定金收据、合同、沟通记录等，向工商所投诉。工商所会介入调解，若调解无效，可建议您通过法律途径解决。,你可以去公司当地的工商所投诉试试，带上定金收据和聊天记录这些证据。工商所管消费纠纷，可能会帮你调解。如果调解不成，再考虑打官司。,我跟你讲，直接去工商所投诉就行，把那个定金单子和聊天记录都带上。他们管这个的，会帮你去跟公司谈。要是谈不拢，那就只能法院见了，不过先试试工商所吧。
hc3_law_0010,law,train,2012年1月25日她自己耍小性子从楼跳下来，现在问我要十万块做为治疗，但是我没有，她要和我离婚，并且要把父母买给我的新房卖了，我想问她有这个权力吗,夫妻间具有相互扶养的义务，夫妻一方生活困难，另一方有救助的义务；父母购买的房子，也要具体看是婚前购买还是婚后购买，婚后购买若无明确约定为某一个人所有的，视为对夫妻双方的赠予，是共同财产，共有财产的处分双方权利是平等的，一方无权擅自处分。,我很抱歉，但是我无法为您提供法律建议。在这种情况下，建议您寻求专业的法律帮助。您可以联系当地的法律援助机构或者请一位律师为您提供建议。这些机构或律师可以帮助您了解您在这种情况下的权利和义务，并为您提供有关如何处理这种情况的指导。,根据《婚姻法》规定，夫妻在婚姻关系存续期间所得的财产为共同财产，而一方婚前财产或父母赠与明确指定给一方的财产属于个人财产。您提到的房子是父母购买并登记在您名下，若无明确赠与双方的证据，则属于您的个人财产，您的妻子无权单方面出售。至于她的医疗费用，若属于夫妻共同债务，则需共同承担；但若因个人原因导致，责任需具体分析。建议您收集证据并咨询专业律师。,按法律来说，房子是你爸妈买给你的，如果没写你老婆名字，那就是你的个人财产，她没权利卖。她跳楼受伤要钱治疗，这算不算夫妻共同债务得看情况，但十万块不是小数目，你也没义务非得全掏。建议你找个律师问问，别冲动。,她自个儿赌气跳楼摔伤了，现在问你要十万块治病，你没钱她就闹离婚，还说要卖你爸妈买的那套新房。房子是婚前财产吧？登记在你名下的话，她卖不了。医疗费的话，她自己作死，你凭啥全出？反正别轻易答应，先咨询律师稳妥点。
hc3_law_0011,law,train,因讨要债务，把人关在屋子里26小时，没有造成伤害。是否构成非法拘禁罪？,如果限制对方人身自由，涉嫌非法拘禁。建议用其他合法途径解决问题和争议。,根据你所描述的情况，这可能构成非法拘禁罪。在大多数司法管辖区，非法拘禁是指在没有合法理由的情况下限制他人的自由移动或拘留他人，并且这种行为通常是故意的。在你所描述的情况中，人被关在屋子里26小时，且没有给予他们合法的理由，这可能被视为故意的非法拘禁。 但是，这需要进一步的法律分析才能确定。国家的法律可能有所不同，因此建议你寻求当地的法律咨询，以了解你所在地的法律如何处理这种情况。,因讨要债务将他人关在屋内26小时，虽未造成身体伤害，但非法剥夺他人人身自由的行为已构成非法拘禁罪。根据刑法规定，非法拘禁他人超过24小时即达到立案标准，索债目的不影响罪名成立。,为了要债把人关屋里26个小时，就算没打人没受伤，这也算非法拘禁了。法律上只要关人超过24小时就能定罪，不管是不是为了讨债。,哥们为了追债，把那人关屋里整整26小时，虽然没动手，但这也犯法了。法律规定关人超过一天就算非法拘禁，讨债不是理由，警察照样抓你。
hc3_law_0012,law,train,http://www.110.com/ask/question-1822025.html这是我的最新记录！你们帮我想想办法,1、可以报案，公安会给一份报案回执单，然后你持报案回执单与淘宝沟通；2、可能在你当地报案,"I'm sorry, but I am unable to access external websites or interpret the information provided in the link you shared. Can you please provide more context or clarify your question? I will do my best to assist you to the best of my abilities.",根据您提供的链接，该问题涉及法律咨询。建议您收集相关证据，如合同、聊天记录等，并咨询专业律师以获取具体法律意见。请注意，网络咨询仅供参考，不能替代正式法律程序。,你那个链接里的问题，最好先把证据都整理好，比如合同、聊天记录什么的。然后找个律师问问，毕竟网上说的不一定靠谱。,哎，你那个链接我看了，这事儿吧，你先把所有聊天记录、合同啥的截图存好，赶紧找个律师当面聊。网上问来问去没啥用，律师才专业。
hc3_law_0013,law,train,我朋友二年前因盗窃罪已被立案，取保候审期间跑了，现在投案自首已快3个月了（案件已于6月20日左右移送检察院），请问到法院开庭宣判还要多长时间啊,在检察院阶段一般一个月，最长不超过一个半月，到法院起诉书送达被告本人后一般10天后开庭，其法院一般在一个月内判决,我很抱歉，但我无法给您准确的时间。法庭宣判的时间可能会因许多因素而异，例如案件的复杂程度、法庭的案件负荷、法庭执行的程序和其他一些因素。您可以联系当地的法庭或者检察院了解更多信息。在您投案自首后，可能会有一些法律程序需要跟进，例如调查、审查、起诉等，这些程序都可能会影响法庭宣判的时间。希望这对您有所帮助。,根据法律规定，盗窃罪案件从检察院移送起诉到法院开庭宣判，一般需要一个月左右。但具体时间取决于法院排期和案件复杂程度。您朋友已投案自首，可能争取从轻处罚。建议尽快委托律师了解进度。,你朋友这个案子，检察院6月20号接手，按正常流程，法院开庭宣判大概还要等一个月左右。不过具体时间得看法庭排期和案子复不复杂。他自首了，量刑时可以考虑从轻。最好请个律师跟进。,我朋友也遇到过类似情况。检察院6月20号收的案子，一般法院会在一个月内开庭宣判。但要是案子多，或者有特殊情况，可能会拖。他自首了，判的时候会轻点。你最好找个律师问问具体进度。
hc3_law_0014,law,train,我公司与乌克兰某公司签署谷物进口合同，该合同没有约定适用哪国法律，仅约定如发生争议在英国依据谷物和饲料贸易协会的仲裁规则进行仲裁。那么请问该合同适用哪国法律？,适用国际仲裁规则，和我们国家和对方国家的法律无关。,如果合同没有约定适用哪国法律，则通常会按照国际商事法的规定来确定适用的法律。在这种情况下，可能会使用议定法的原则，即由当事人自愿选择的法律适用于合同。 因此，在没有明确约定的情况下，该合同可能适用英国法律。这是因为英国是合同中提到的仲裁机构所在的国家，而且当事人之间选择了使用英国的仲裁规则。 但是，也可能会使用其他法律来确定适用的法律，这取决于具体情况。例如，如果当事人都是乌克兰公司，则可能会使用乌克兰法律。如果当事人都是英国公司，则可能会使用英国法律。 因此，在没有明确约定的情况下，适用的法律是不确定的，需要考虑具体情况来确定。建议您寻求专业法律咨询，以确定适用的法律。,根据《中华人民共和国涉外民事关系法律适用法》第十八条，当事人没有选择合同适用法律的，适用履行义务最能体现该合同特征的一方当事人经常居所地法律或者其他与该合同有最密切联系的法律。本案中，合同双方为中国公司与乌克兰公司，且约定在英国仲裁，因此可能适用英国法或仲裁地法。具体需结合合同履行情况判断，但通常仲裁地法律可能被适用。,这个合同没写用哪国法律，只说要是闹矛盾了就去英国仲裁。按中国法律，一般是看哪个国家跟合同关系最密切。中乌两家公司签合同，仲裁地又在英国，所以很可能用英国法，或者仲裁地那边的法律。具体还得看合同咋履行的。,合同里头没提法律适用，就写了争议去英国仲裁。我查了下，按中国涉外法律，得找个最相关的国家法律。咱公司是中国的，对方是乌克兰的，仲裁地却是英国，那八成是英国法吧，毕竟仲裁地法律经常被拿来用。不过具体还得看合同怎么执行，反正不是中国法就是英国法，乌克兰法可能性小点。
hc3_law_0015,law,train,我一个朋友上班期间和一个同事闹着玩导致他小臂骨折，谁知道他报的是工伤，我朋友做的证人，（因为我朋友当时也很害怕毕竟骨折了，手术费大概四万左右）现在想问一下如果被发现有什么后果啊，,工伤需要经过劳动和社保机构认定的，如果发现假报工伤的，认定机构可以撤销原认定的。,! network error There was an error generating a response,关于您朋友的情况，如果同事报工伤被查实为虚假申报，可能面临行政处罚或刑事责任。您朋友作为证人提供虚假证言，可能构成伪证，需承担法律责任。建议尽快咨询专业律师，如实说明情况，争取从轻处理。,你朋友这种情况挺麻烦的。要是单位发现工伤是假的，报工伤的人可能要担责，你朋友作伪证也可能被追究。赶紧找个律师问问吧，把实情说清楚，看怎么补救。,哎，你朋友摊上事了。那个同事报工伤要是假的，他自己得倒霉，你朋友做假证也得跟着进去。别犹豫了，赶紧找律师，实话实说，看能不能少罚点。
hc3_law_0016,law,train,律师你好，请问一个法律问题。有个朋友借我钱，先让我把钱转到他表弟的支付宝里，他表弟再取出来给他，推脱一年多未还，他表弟是否可以作为第二被告，依据是什么,即使作为第二被告，案件最终的结果应该是不会支持判决他表弟承担责任,根据中国的法律，在您向朋友借款时，如果朋友未能按照约定偿还借款，您可以向法院起诉朋友要求偿还借款。在起诉过程中，您可以将朋友的表弟作为被告，如果表弟拥有相关的财产并且您能够证明表弟的财产是由朋友转移给表弟的，那么您可以要求法院从表弟的财产中扣除欠款以偿还您的借款。 但是，在这种情况下，您需要充分证明表弟拥有相关的财产，以及表弟的财产是由朋友转移给表弟的。您可以出示支付宝的转账记录或其他相关的证据来证明这一点。 此外，在起诉表弟的情况下，您也应该注意到，表弟可能会辩称自己并不是朋友的代理人或受托人，并且表弟可能不承担任何责任。因此，在起诉前，您应该仔细考虑这些因素，并准备充分的证据来证明表弟的责任。,律师你好，关于你的问题，表弟可以作为第二被告。依据是《民法典》第1168条关于共同侵权的规定，如果表弟明知借款用途仍协助转账，可能构成共同债务人。另外，《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第18条也提到，资金通过他人账户流转，可追加为被告。建议收集转账记录、聊天证据，证明表弟参与借款过程。,律师您好，我想问个事。朋友借钱让我转给他表弟的支付宝，表弟再取出来给他，现在一年多没还。表弟能不能当第二被告？依据是什么？我觉得表弟帮忙转账可能也有责任，比如《民法典》里共同侵权那条，或者最高法关于民间借贷的司法解释，说钱经过别人账户可以追加被告。您看行吗？,嘿律师，我朋友借钱，让我转他表弟支付宝，表弟取现给他，一年不还。表弟能当第二被告不？有啥法律依据？我查了下，民法典1168条说共同侵权要担责，还有最高法民间借贷规定第18条，钱走别人账户可以追加。我手头有转账记录和聊天，够不够？
